date,time,country,country_code,group_letter,spi,spi_offense,spi_defense,group,sixteen,quarter_finals,semi_finals,final,champion
13 June,09:30,Colombia,COL,C,85.82,2.1806,0.4532,0.5201,0.7775,0.456812095055681,0.147733906358886,0.072511737282963,0.028025814986671
13 June,09:30,Costa Rica,CRC,D,74.07,1.3226,0.6996,0.0955,0.2639,0.100705775306588,0.018707815062022,0.005454432320267,0.001074430885252
13 June,09:30,Croatia,CRO,A,76.13,1.7849,0.9129,0.0012,0.3841,0.106325436580187,0.043431554304457,0.013826832290041,0.002399074706638
13 June,09:30,Ecuador,ECU,E,80.64,2.0295,0.7689,0.2438,0.5537,0.228582936973891,0.100654180790121,0.031966197427043,0.00864760104926
13 June,09:30,England,ENG,D,83.2,2.2051,0.689,0.3361,0.6242,0.346860330285986,0.119319946983868,0.052517115618842,0.015988916650939
13 June,09:30,Spain,ESP,B,89.13,2.6874,0.4467,0.4827,0.7983,0.452715968379232,0.308826942160694,0.181452072189229,0.07679131938979
13 June,09:30,France,FRA,E,86.13,2.4862,0.6189,0.5301,0.7987,0.452340317066824,0.244701456702121,0.090801828815173,0.037601747647199
13 June,09:30,Germany,GER,G,88.88,3.194,0.7751,0.676,0.8761,0.680021864404471,0.446686382697243,0.195122916082199,0.107258600145189
13 June,09:30,Ghana,GHA,G,77.22,1.908,0.9282,0.0868,0.3171,0.154560884175294,0.052554696300171,0.015663703298474,0.003239428284436
13 June,09:30,Greece,GRE,C,76.79,1.3365,0.5396,0.1405,0.3828,0.152912833361726,0.038915653752367,0.01239955345119,0.00247612874704
13 June,09:30,Honduras,HON,E,69.6,1.5609,1.162,0.0536,0.195,0.04670930398839,0.013839877679871,0.002949449685515,0.000411207568936
13 June,09:30,Iran,IRN,F,70.63,1.2971,0.8882,0.0337,0.1897,0.056702119280224,0.015281180545223,0.002367053035669,0.000425951210324
13 June,09:30,Italy,ITA,D,79.51,1.9842,0.8202,0.1979,0.4534,0.215707326921434,0.055977841155499,0.020849904187271,0.005311506705272
13 June,09:30,Japan,JPN,C,73.48,2.1293,1.3485,0.1045,0.298,0.10600434088023,0.023287592490571,0.00641330347639,0.001035770545741
13 June,09:30,South Korea,KOR,H,72.41,1.69,1.0862,0.1403,0.3846,0.102606254790012,0.028936966016455,0.005459800764003,0.000956896076221
13 June,09:30,Mexico,MEX,A,76.93,1.5518,0.6892,0.0152,0.386,0.110254517143266,0.045648872417609,0.014858901482706,0.002669223301895
13 June,09:30,Netherlands,NED,B,82.5,2.3138,0.8173,0.1561,0.4262,0.138397793670374,0.072842564336308,0.031500114089413,0.009403177126105
13 June,09:30,Nigeria,NGA,F,75.23,1.6678,0.8866,0.0683,0.3138,0.1167642704963,0.038803700768471,0.007883931043447,0.00175736885573
13 June,09:30,Portugal,POR,G,81,2.1386,0.8161,0.1466,0.4775,0.266837652959381,0.109180725072894,0.038564089887372,0.010039313001985
13 June,09:30,Russia,RUS,H,79.01,1.6554,0.6238,0.3044,0.6353,0.236682984084582,0.086689617229214,0.024362772705781,0.005830902438272
13 June,09:30,Switzerland,SUI,E,78.09,1.9841,0.9216,0.1725,0.4526,0.164621303116832,0.066322066267332,0.01941172357215,0.0044496689725
13 June,09:30,Uruguay,URU,D,83.33,2.2379,0.6999,0.3705,0.6585,0.371631930037757,0.131798428882976,0.059142202763107,0.018342404517356
13 June,09:30,USA,USA,G,77.42,2.0473,1.0141,0.0906,0.3293,0.164157573966881,0.056979886177162,0.017244814303172,0.003630969670475
13 June,18:00,Algeria,ALG,H,63.41,1.1202,1.1642,0.0593,0.1973,0.037031884872746,0.007710506904984,0.000978961263767,0.000122194099713
13 June,18:00,Argentina,ARG,F,90,2.8542,0.4498,0.7386,0.9252,0.666650547145002,0.466073738132324,0.282462112003233,0.128549848420492
13 June,18:00,Australia,AUS,B,69.47,1.638,1.232,0.0176,0.0813,0.009963897037146,0.00298364093576,0.00067040120955,9.5466916224E-05
13 June,18:00,Belgium,BEL,H,82,2.1387,0.7397,0.4969,0.7808,0.358877412259987,0.151754927126451,0.056075873492792,0.015482578417722
13 June,18:00,Bosnia and Herzegovina,BIH,F,80.32,2.3119,0.9862,0.16,0.5643,0.264783490061127,0.113134951148298,0.032140183180042,0.00916690803052
13 June,18:00,Brazil,BRA,A,91.64,3.3933,0.559,0.9713,0.9985,0.806672340962142,0.69796289186845,0.564891003757246,0.45123319326575
13 June,18:00,Chile,CHI,B,86.71,2.7085,0.7041,0.3403,0.6906,0.320185975903838,0.202313388419788,0.108616224340022,0.041468390730423
13 June,18:00,Ivory Coast,CIV,C,78.89,2.2468,1.0484,0.2389,0.5426,0.250231056562453,0.069981653595991,0.025863338962373,0.006272653112445
13 June,18:00,Cameroon,CMR,A,71.33,1.4802,0.9908,0.0005,0.0383,0.008279153484669,0.002820473580497,0.00072650664474,9.8616032483E-05
13 June,18:00,Colombia,COL,C,85.82,2.1806,0.4532,0.5106,0.7761,0.456219560237007,0.149388314631632,0.07300735623557,0.028073586699386
13 June,18:00,Costa Rica,CRC,D,74.07,1.3226,0.6996,0.0958,0.2646,0.101040094119728,0.018743684410719,0.00549209073523,0.001083142985377
13 June,18:00,Croatia,CRO,A,76.13,1.7849,0.9129,0.0019,0.3722,0.103607930809959,0.042294641591688,0.013482186680815,0.002338096699502
13 June,18:00,Ecuador,ECU,E,80.64,2.0295,0.7689,0.2374,0.5649,0.231696762662057,0.102545136169625,0.033008883261278,0.008860670383128
13 June,18:00,England,ENG,D,83.2,2.2051,0.689,0.3406,0.6283,0.348098619736154,0.11932127505911,0.052548030705685,0.015998384714489
13 June,18:00,Spain,ESP,B,89.13,2.6874,0.4467,0.4793,0.7861,0.441816798239597,0.30165609619754,0.177005406648115,0.074872288374719
13 June,18:00,France,FRA,E,86.13,2.4862,0.6189,0.5281,0.7977,0.451933336780933,0.244662994075212,0.091031922602339,0.037620425376888
13 June,18:00,Germany,GER,G,88.88,3.194,0.7751,0.6687,0.8759,0.679070097859563,0.445952015124676,0.196640378263842,0.1074437416918
13 June,18:00,Ghana,GHA,G,77.22,1.908,0.9282,0.081,0.3145,0.152902094499734,0.051961807220511,0.01564306448544,0.00321889697574
13 June,18:00,Greece,GRE,C,76.79,1.3365,0.5396,0.1471,0.3876,0.155104058949385,0.038910451578016,0.012403492207238,0.002495869562648
13 June,18:00,Honduras,HON,E,69.6,1.5609,1.162,0.064,0.1971,0.048783196464964,0.014124011741484,0.002884217913809,0.000413364373853
13 June,18:00,Iran,IRN,F,70.63,1.2971,0.8882,0.0333,0.1933,0.058800177658687,0.015630900951724,0.002414658747095,0.000438321236178
13 June,18:00,Italy,ITA,D,79.51,1.9842,0.8202,0.2047,0.4639,0.220939815438024,0.057636464792536,0.021356212051544,0.005439331550374
13 June,18:00,Japan,JPN,C,73.48,2.1293,1.3485,0.1034,0.2937,0.104561618469806,0.022925782183698,0.006365140741344,0.001025558390595
13 June,18:00,South Korea,KOR,H,72.41,1.69,1.0862,0.147,0.3907,0.104659693063132,0.029329702387714,0.005587241322035,0.000973655142081
13 June,18:00,Mexico,MEX,A,76.93,1.5518,0.6892,0.0263,0.591,0.16869454226755,0.069743756247753,0.022581427305191,0.004054581610644
